sender,subject,body,received_at,sentiment,priority,extracted_emails,extracted_phones,mentioned_products,key_requirements,draft_reply
eve@startup.io,Immediate support needed for billing error,"Hello, I wanted to understand the pricing tiers better. Could you share a detailed breakdown?",2025-09-05 18:54:07.275202,Negative,Urgent,,,"Billing, Immediate, Hello, Could","Immediate support needed for billing error
Hello, I wanted to understand the pricing tiers better.","Hi Eve,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Billing, Immediate, Hello, Could. Thanks for reaching out about: “Immediate support needed for billing error”.

Here’s what will help:
- For billing issues, we can reverse duplicate charges within 3–5 business days. Share the invoice ID and last 4 digits of the payment method to expedite.
- We’re investigating a service disruption. Status updates are posted on status.yourcompany.com. You can subscribe to incident alerts there.
To move fast, please share: invoice ID.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
alice@example.com,Urgent request: system access blocked,"Hi team, I am unable to log into my account since yesterday. Could you please help me resolve this issue?",2025-09-05 19:54:07.275202,Negative,Urgent,,,"Urgent, Could","Urgent request: system access blocked
Hi team, I am unable to log into my account since yesterday. | Could you please help me resolve this issue?","Hi Alice,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Urgent, Could. Thanks for reaching out about: “Urgent request: system access blocked”.

We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
alice@example.com,Critical help needed for downtime,"Hi team, I am unable to log into my account since yesterday. Could you please help me resolve this issue?",2025-09-05 21:54:07.275202,Negative,Urgent,,,"Critical, Could","Critical help needed for downtime
Hi team, I am unable to log into my account since yesterday. | Could you please help me resolve this issue?","Hi Alice,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Critical, Could. Thanks for reaching out about: “Critical help needed for downtime”.

Here’s what will help:
- We’re investigating a service disruption. Status updates are posted on status.yourcompany.com. You can subscribe to incident alerts there.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
alice@example.com,General query about subscription,"Our servers are down, and we need immediate support. This is highly critical.",2025-09-06 00:54:07.275202,Negative,Urgent,,,"Subscription, General, Our, This","General query about subscription
Our servers are down, and we need immediate support.","Hi Alice,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Subscription, General, Our, This. Thanks for reaching out about: “General query about subscription”.

Here’s what will help:
- We’re investigating a service disruption. Status updates are posted on status.yourcompany.com. You can subscribe to incident alerts there.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
eve@startup.io,Critical help needed for downtime,"Our servers are down, and we need immediate support. This is highly critical.",2025-09-06 04:54:07.275202,Negative,Urgent,,,"Critical, Our, This","Critical help needed for downtime
Our servers are down, and we need immediate support.","Hi Eve,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Critical, Our, This. Thanks for reaching out about: “Critical help needed for downtime”.

Here’s what will help:
- We’re investigating a service disruption. Status updates are posted on status.yourcompany.com. You can subscribe to incident alerts there.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
alice@example.com,Immediate support needed for billing error,"Despite multiple attempts, I cannot reset my password. The reset link doesn’t seem to work.",2025-09-06 07:54:07.275202,Negative,Urgent,,,"Billing, Immediate, Despite, The","Immediate support needed for billing error
Despite multiple attempts, I cannot reset my password. | The reset link doesn’t seem to work.","Hi Alice,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Billing, Immediate, Despite, The. Thanks for reaching out about: “Immediate support needed for billing error”.

Here’s what will help:
- For billing issues, we can reverse duplicate charges within 3–5 business days. Share the invoice ID and last 4 digits of the payment method to expedite.
To move fast, please share: invoice ID, a screenshot of the error and the timestamp/timezone.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
charlie@partner.org,Help required with account verification,"This is urgent – our system is completely inaccessible, and this is affecting our operations.",2025-09-06 08:54:07.275202,Negative,Urgent,,,"Help, This","Help required with account verification
This is urgent – our system is completely inaccessible, and this is affecting our operations.","Hi Charlie,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Help, This. Thanks for reaching out about: “Help required with account verification”.

We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
diana@client.co,Request for refund process clarification,Could you clarify the steps involved in requesting a refund? I submitted one last week but have no update.,2025-09-06 09:54:07.275202,Negative,Urgent,,,"Request, Could","Request for refund process clarification
Could you clarify the steps involved in requesting a refund?","Hi Diana,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Request, Could. Thanks for reaching out about: “Request for refund process clarification”.

Here’s what will help:
- For billing issues, we can reverse duplicate charges within 3–5 business days. Share the invoice ID and last 4 digits of the payment method to expedite.
To move fast, please share: last 4 digits of the payment method.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
eve@startup.io,Query about product pricing,"Our servers are down, and we need immediate support. This is highly critical.",2025-09-06 10:54:07.275202,Negative,Urgent,,,"Query, Our, This","Query about product pricing
Our servers are down, and we need immediate support.","Hi Eve,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Query, Our, This. Thanks for reaching out about: “Query about product pricing”.

Here’s what will help:
- We’re investigating a service disruption. Status updates are posted on status.yourcompany.com. You can subscribe to incident alerts there.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
bob@customer.com,Urgent request: system access blocked,"Despite multiple attempts, I cannot reset my password. The reset link doesn’t seem to work.",2025-09-06 11:54:07.275202,Negative,Urgent,,,"Urgent, Despite, The","Urgent request: system access blocked
Despite multiple attempts, I cannot reset my password. | The reset link doesn’t seem to work.","Hi Bob,

I’m really sorry for the trouble you’ve experienced. Thanks for your patience while we sort this out. We see this relates to Urgent, Despite, The. Thanks for reaching out about: “Urgent request: system access blocked”.

To move fast, please share: a screenshot of the error and the timestamp/timezone.
We’ve prioritized your case and will keep you posted. If anything changes on your side, reply to this email.

Best regards,
Support Team"
